time,events,remark,type,notes
01:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
07:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
12:00,アイスマンボキング,,出現,
12:25,ゼニスクイーン,,出現,":map: : 傲慢の塔 1F , ランダム出現だよ :cyclone:"
12:25,クーガー,,出現,":map: : 傲慢の塔 5F , ランダム出現だよ :cyclone:"
13:00,アビシュ,,出現,
13:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
13:25,シアー,,出現,":map: : 傲慢の塔 2F , ランダム出現だよ :cyclone:"
13:25,マミーロード,,出現,":map: : 傲慢の塔 6F , ランダム出現だよ :cyclone:"
14:00,バフォメット,,出現,:map: : 16.カオティック神殿:
19:00,千年九尾狐,,出現,
19:00,監視者リーパー,,出現,:map: : 傲慢の塔 各階
19:25,ヴァンパイア,,出現,":map: : 傲慢の塔 3F , ランダム出現だよ :cyclone:"
19:25,アイリス,,出現,":map: : 傲慢の塔 7F , ランダム出現だよ :cyclone:"
20:00,アズモダン,,出現,
20:00,バフォメット,,出現,:map: : 16.カオティック神殿:
20:25,ゾンビロード,,出現,":map: : 傲慢の塔 4F , ランダム出現だよ :cyclone:"
20:25,ナイトバルド,,出現,":map: : 傲慢の塔 8F , ランダム出現だよ :cyclone:"
21:00,氷の女王,,出現,
22:25,デーモン,,出現,
21:30,テーベラス,Mon,開始,
22:00,ゼロス,Mon,出現,
21:30,テーベラス,Tue,開始,
22:00,ゼロス,Tue,出現,
22:00,ゼロス,Wed,出現,
22:00,ゼロス,Thu,出現,
21:30,崩れる島,Fri,開始,
22:00,ゼロス,Fri,出現,
21:30,崩れる島,Sat,開始,
22:00,ゼロス,Sat,出現,
22:30,ラスタバド HotTime,Sat,開始,
22:00,攻城戦,Sun,開始,
